,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,TNo-P,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,AvgCNOT,MaxCNOT,NoToff,%QInToff,AvgToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,%QM,cluster,TotalTime,Minutes,Seconds,Num_Correct,Num_Incorrect,Num_Idk,Num_NotAnswered,CorrectnessEfficiency,IncorrectnessEfficiency,IdkEfficiency,NotAnsweredEfficiency
52,5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4,7.316666666666666,7,19,6,0,0,0,0.8200455580865604,0.0,0.0,0.0
53,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,11.8,11,48,2,4,0,0,0.1694915254237288,0.3389830508474576,0.0,0.0
54,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,1.0833333333333333,1,5,0,0,6,0,0.0,0.0,5.538461538461539,0.0
55,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,10.383333333333333,10,23,3,2,1,0,0.28892455858747995,0.1926163723916533,0.09630818619582665,0.0
56,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,8.85,8,51,5,1,0,0,0.5649717514124294,0.11299435028248588,0.0,0.0
57,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,6.416666666666667,6,25,2,3,1,0,0.3116883116883117,0.4675324675324675,0.15584415584415584,0.0
58,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,8.583333333333334,8,35,6,0,0,0,0.6990291262135921,0.0,0.0,0.0
59,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,12.416666666666666,12,25,5,1,0,0,0.4026845637583893,0.08053691275167786,0.0,0.0
60,24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5,9.75,9,45,6,0,0,0,0.6153846153846154,0.0,0.0,0.0
61,33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5,15.066666666666666,15,4,0,0,0,6,0.0,0.0,0.0,0.39823008849557523
62,33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5,11.4,11,24,0,0,6,0,0.0,0.0,0.5263157894736842,0.0
63,33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5,2.1333333333333333,2,8,0,0,6,0,0.0,0.0,2.8125,0.0
64,33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5,5.05,5,3,0,5,1,0,0.0,0.9900990099009901,0.19801980198019803,0.0
65,33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5,13.633333333333333,13,38,2,3,1,0,0.1466992665036675,0.22004889975550124,0.07334963325183375,0.0
66,33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5,15.066666666666666,15,4,2,1,2,1,0.13274336283185842,0.06637168141592921,0.13274336283185842,0.06637168141592921
67,33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5,7.383333333333334,7,23,4,2,0,0,0.5417607223476297,0.27088036117381487,0.0,0.0
68,46,4,14,4,1.4286,0,0,0,0,0.0,8,8,0,0,8,1.0,2.0,4,0,0.0,0.0,0,20,8,0.4,4,0,1.0,0.0,1.0,1,0,0.0,8,6.533333333333333,6,32,3,3,0,0,0.45918367346938777,0.45918367346938777,0.0,0.0
69,46,4,14,4,1.4286,0,0,0,0,0.0,8,8,0,0,8,1.0,2.0,4,0,0.0,0.0,0,20,8,0.4,4,0,1.0,0.0,1.0,1,0,0.0,8,6.883333333333333,6,53,4,2,0,0,0.5811138014527846,0.2905569007263923,0.0,0.0
70,8,8,5,8,5.2,1,0,1,16,0.0,8,25,0,0,0,0.0,0.0,0,0,0.0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,1.0,9,7.116666666666666,7,7,0,0,6,0,0.0,0.0,0.8430913348946136,0.0
71,8,8,5,8,5.2,1,0,1,16,0.0,8,25,0,0,0,0.0,0.0,0,0,0.0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,1.0,9,7.233333333333333,7,14,5,1,0,0,0.6912442396313364,0.1382488479262673,0.0,0.0
72,8,8,5,8,5.2,1,0,1,16,0.0,8,25,0,0,0,0.0,0.0,0,0,0.0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,1.0,9,9.383333333333333,9,23,5,1,0,0,0.5328596802841918,0.10657193605683837,0.0,0.0
73,42,6,12,2,1.4167,6,2,8,4,0.3333,0,12,1,0,0,0.0,0.0,0,4,1.0,0.6667,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,0.0,6,3.0166666666666666,3,1,2,0,4,0,0.6629834254143646,0.0,1.3259668508287292,0.0
74,42,6,12,2,1.4167,6,2,8,4,0.3333,0,12,1,0,0,0.0,0.0,0,4,1.0,0.6667,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,0.0,6,2.033333333333333,2,2,0,0,6,0,0.0,0.0,2.9508196721311477,0.0
75,42,6,12,2,1.4167,6,2,8,4,0.3333,0,12,1,0,0,0.0,0.0,0,4,1.0,0.6667,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,0.0,6,15.066666666666666,15,4,2,3,0,1,0.13274336283185842,0.19911504424778761,0.0,0.06637168141592921
76,42,6,12,2,1.4167,6,2,8,4,0.3333,0,12,1,0,0,0.0,0.0,0,4,1.0,0.6667,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,0.0,6,2.9,2,54,0,2,4,0,0.0,0.6896551724137931,1.3793103448275863,0.0
77,42,6,12,2,1.4167,6,2,8,4,0.3333,0,12,1,0,0,0.0,0.0,0,4,1.0,0.6667,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,0.0,6,10.816666666666666,10,49,5,0,1,0,0.4622496147919877,0.0,0.09244992295839753,0.0
78,13,8,7,4,1.2857,0,0,0,4,0.5,0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,0.0,7,0.7,0,42,0,0,6,0,0.0,0.0,8.571428571428571,0.0
79,13,8,7,4,1.2857,0,0,0,4,0.5,0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,0.0,7,3.6333333333333333,3,38,5,1,0,0,1.3761467889908257,0.27522935779816515,0.0,0.0
80,13,8,7,4,1.2857,0,0,0,4,0.5,0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,0.0,7,12.933333333333334,12,56,3,1,2,0,0.23195876288659795,0.07731958762886598,0.15463917525773196,0.0
81,13,8,7,4,1.2857,0,0,0,4,0.5,0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,0.0,7,8.516666666666667,8,31,1,3,2,0,0.11741682974559686,0.3522504892367906,0.23483365949119372,0.0
82,13,8,7,4,1.2857,0,0,0,4,0.5,0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,0.0,7,11.983333333333333,11,59,3,3,0,0,0.25034770514603616,0.25034770514603616,0.0,0.0
83,35,6,11,3,1.3636,0,0,0,6,0.5,0,6,0,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4,8,6,0.6667,0.6667,1.5,3,0,0.0,7,13.95,13,57,5,1,0,0,0.35842293906810035,0.07168458781362008,0.0,0.0
